patient_id,r_plus,r_prod,r_minus,delta_plus,delta_prod,K,T0_plus,T0_prod,T0_minus,alpha_00,alpha_01,alpha_02,alpha_10,alpha_11,alpha_12,alpha_20,alpha_21,alpha_22
0,0.002755508513016588,0.0031933016768725484,0.007570237546573417,0.14501517530503327,0.07250758765251664,10000.0,3472.331425202776,503.50144349792345,104.70016205422255,1.0,0.6647482804919992,0.5718124957327114,0.7675362118938841,1.0,0.707926777060766,0.30136925008507404,0.7287021382937846,1.0
1,0.0029392146472751305,0.0042250482358057095,0.007013939941195615,0.08429982902602366,0.04214991451301183,10000.0,6858.843210694833,534.4381202632184,22.610321895956023,1.0,0.5045995681845806,0.5747968438365297,0.3137795566215342,1.0,0.6767565543374032,0.5690716566096391,0.46486585824954607,1.0
2,0.0028072101889777025,0.0028473191800404197,0.005840604857836451,0.05437161543146929,0.027185807715734644,10000.0,10464.757872582511,873.0606202871191,26.964390677394995,1.0,0.3275733136665341,0.43748468395301904,0.6287165074377963,1.0,0.581132831390214,0.37503113165266805,0.5163153954023936,1.0
3,0.004834731446030714,0.0015676758120131906,0.0071669754348757456,0.11190947111749326,0.05595473555874663,10000.0,3611.2115846674405,335.4995033912762,6.577802012317908,1.0,0.37986945731853927,0.6672885757046072,0.3568360099607017,1.0,0.495614095247831,0.5583700913106818,0.5153140102070889,1.0
4,0.002193179976053678,0.0031536044520227287,0.009739428067562343,0.17953390066932765,0.08976695033466382,10000.0,2059.579198450507,389.00814436565383,21.0390829879895,1.0,0.3872639080720142,0.7358176370938282,0.5719707003817491,1.0,0.7511075398579942,0.5385767619196031,0.5152481388647066,1.0
5,0.002098614361565136,0.0022502848647705707,0.006082327173844386,0.16376019831797892,0.08188009915898946,10000.0,7648.523508519837,421.75373824225153,22.316812989109945,1.0,0.32263759695122257,0.324378855363584,0.7995880575325357,1.0,0.6261845557939938,0.41725510083491196,0.517473776112571,1.0
6,0.003617726003613799,0.005592036905138459,0.003448246714361176,0.1320623044015181,0.06603115220075904,10000.0,7219.080919098523,1010.5844874347624,60.932332753044896,1.0,0.361486187443595,0.3258646159918876,0.7250956734043935,1.0,0.3044479027677173,0.7893837810926483,0.7135015129095268,1.0
7,0.0026566175521810886,0.003623846377652502,0.006043847062037423,0.09882216901605011,0.049411084508025054,10000.0,3607.764832799123,194.37492248682673,37.17075323958562,1.0,0.7106142091913832,0.6985347143760231,0.5339674764218604,1.0,0.45151621340965675,0.43921280605038665,0.4274347938270623,1.0
8,0.0015942548514636208,0.00224218486915172,0.004624677010714226,0.12162757075682727,0.060813785378413636,10000.0,1499.9730911800812,341.8594895810715,15.934774672603513,1.0,0.4863744515446765,0.35347679823638717,0.5394827270813585,1.0,0.42067607254234113,0.42857262427556486,0.39236577841720743,1.0
9,0.0020980565776838067,0.0035648688128327314,0.004300419843016261,0.17932356066455196,0.08966178033227598,10000.0,7675.330136034354,283.9839240467484,50.59497725579947,1.0,0.7591188145243812,0.3132938672337986,0.5186240000647544,1.0,0.542472163488644,0.33257709868505375,0.30281302533969645,1.0
10,0.0019209044424781535,0.0026831665227795144,0.0053336858515754095,0.15435861846871587,0.07717930923435794,10000.0,3976.656500830392,426.75982486863865,71.33081306560338,1.0,0.7208738621561395,0.5127544987024883,0.7784630017266831,1.0,0.7126664531923992,0.469107656235788,0.5878802739722568,1.0
11,0.002682449136569689,0.004948102388850276,0.008741578690338146,0.11441450609646925,0.057207253048234624,10000.0,3884.9537635459797,269.4347302307102,56.813712920342915,1.0,0.364886974699649,0.7741642266458875,0.6109417963981914,1.0,0.4844965618648955,0.5556950109016313,0.6314214762583996,1.0
12,0.002650341554893086,0.0045129108442303065,0.007761173535379624,0.18407289438014554,0.09203644719007277,10000.0,9607.507519546822,167.2241162795115,20.97801001014975,1.0,0.35753969106172373,0.7481546868523402,0.7290652445419544,1.0,0.30141351609331,0.5707330808593971,0.35342563701186996,1.0
13,0.0045401313387752355,0.0013446851021469079,0.008186073109139345,0.14305844517148422,0.07152922258574211,10000.0,8335.987968313862,512.0851629530412,161.86165862922059,1.0,0.30131537681314985,0.755203589032919,0.7924017376187777,1.0,0.4431483020830852,0.7068305615194898,0.3412039719406541,1.0
14,0.003257205567361778,0.002490046376599589,0.004389052152622091,0.045131078271117495,0.022565539135558747,10000.0,3784.8492980293872,938.9474391576122,36.342366441640564,1.0,0.6581571913200202,0.533584376955426,0.5862294690913235,1.0,0.6731611800456558,0.33178195956959844,0.623438021354437,1.0
